customer_id,name,email,phone,street_address,city,state,zipcode,birth_date,account_created,membership_tier
CUST-52445,Jennifer Williams,diazbrian@example.net,801.266.1318,90996 Theresa Cape,West Robert,Ohio,15940,1981-05-12,2025-01-27,Bronze
CUST-99391,Kevin Fowler,connor19@example.org,+1-437-586-5797x543,487 Blair Heights,North Williamburgh,Wisconsin,45334,1954-12-20,2024-11-09,Bronze
CUST-15138,Angela Grant,matthew59@example.com,001-971-614-7104,507 Jackson Crescent Suite 034,Lake John,Montana,65579,1950-06-21,2024-09-27,Silve
CUST-82016,Chad Jordan,jasmine56@example.org,(412)623-3079,26859 Benton Spurs Apt. 786,Rossville,New Mexico,83638,1970-08-15,2023-12-18,Bronze
CUST-37363,Brian Burke,smithedward@example.org,(990)313-9624x595,7774 Douglas Summit,Joyfort,Vermont,21661,1977-12-03,2024-01-03,Silve
CUST-79239,Michael Sloan,tiffany14@example.net,(825)538-8853x933,750 Kristy Mountains,Jamesstad,New Hampshire,95282,2007-08-22,2026-04-04,Bronze
CUST-57793,Brian Harrison,james99@example.org,851.316.3726x5167,20297 Cheryl Ranch,Sandovalstad,Georgia,72414,1979-12-08,2023-06-16,Bronze
CUST-95154,Paul Taylor,margaretclark@example.com,448.239.5486,9868 Amanda Pine Apt. 729,Port Laurenburgh,Georgia,62562,1984-05-25,2023-10-02,Silve
CUST-18094,Joseph Peters,warebrian@example.org,501-687-8017x598,878 Holly Wells Suite 837,South David,New Hampshire,41917,1949-12-18,2024-02-11,Bronze
CUST-19584,Eric Martinez,sheilaschneider@example.com,(542)473-1672,656 Michael Course Suite 058,Alexandertown,Missouri,43951,1977-12-28,2024-04-11,Bronze
CUST-18426,Thomas Perez,millerjoseph@example.org,626-246-2889x751,1401 Miller Walks,North Joseph,Delaware,59978,1946-02-13,2026-05-17,Bronze
CUST-64756,Debra Anderson,sharoncosta@example.com,4236448347,40008 Willie Gardens Suite 167,Wallerport,Vermont,28705,2007-04-15,2024-06-02,Bronze
CUST-93358,William Holden,alexisgarrett@example.com,(620)916-8493x40722,5585 Austin Inlet,West Isaac,Michigan,50521,1950-09-05,2024-03-24,Bronze
CUST-95985,Jonathan Smith,lisa26@example.net,4608443198,724 Bradley Village Suite 828,Port Glendabury,Colorado,04585,1948-01-12,2025-04-21,Gold
CUST-23751,Jerry Williams,simserin@example.com,607-518-8181x741,77617 Wang Ridges,North Carol,Michigan,33785,1986-06-10,2025-06-21,Bronze
CUST-91415,Alexandria Brown,teresa13@example.net,248.647.7718x3417,87463 Charles Course Apt. 845,New Lori,North Carolina,37144,2001-04-07,2025-07-02,Bronze
CUST-40327,Dr. James Moore DVM,usullivan@example.org,(656)751-5055x61304,6915 Campos Walk,West Cristianport,South Dakota,20019,1961-02-06,2024-03-10,Silve
CUST-76972,Raymond Glover,zhenson@example.net,(488)431-0679x2470,5444 Sullivan Garden Suite 786,East Dawnland,Indiana,66116,2002-06-21,2024-11-18,Gold
CUST-38839,Gary Malone,mtaylor@example.org,525-281-5354,6836 Morgan Circle Suite 495,Lake Wesley,South Dakota,28807,1951-03-24,2026-01-30,Silve
CUST-60405,Jeremy Finley,martinezronald@example.com,001-370-516-8773,81718 Aaron Crossroad,New Samantha,Tennessee,94220,1964-07-13,2023-10-11,Bronze
CUST-43003,Jessica Gallagher,jonesalice@example.net,964.639.0084,378 Amy Burgs Suite 400,South Nicole,Tennessee,55553,1950-07-03,2024-01-28,Platinum
CUST-65616,Cristina Johnson,jennifer56@example.org,5489137343,4197 Peggy Oval,Lozanoton,Rhode Island,19687,2003-06-23,2023-07-22,Bronze
